Nb;Commune;Date;Type loup;Type tir;Tireur
1;CHICHILIANNE;18/06/23;Jeune louve;TDS;Chasseur
1;REVEL;03/07/23;Louve;TDR;Lieutenant de louveterie
1;LAVALDENS;21/07/23;Loup;TDR;Lieutenant de louveterie
1;CHICHILIANNE;27/07/23;Louve;TDR;Lieutenant de louveterie
1;REVEL;04/08/23;Louve;TDR;Lieutenant de louveterie
1;LAVALDENS;09/08/23;Loup;TDR;Lieutenant de louveterie
1;BESSE-EN-OISANS;12/08/23;Louve;TDR;Berger
1;LAVALDENS;14/08/23;Loup;TDR;Lieutenant de louveterie
1;LAVALDENS;25/08/23;Louve;TDR;BMI
1;REVEL;11/09/23;Loup;TDR;Lieutenant de louveterie
1;ROISSARD;23/09/23;Louve;TDR;Lieutenant de louveterie
1;SAINT-MICHEL-EN-BEAUMONT;05/11/23;Loup;TDR;Lieutenant de louveterie
1;SAINT-PAUL-LES-MONESTIER;17/11/23;Louve;TDS;Éleveur
1;LAVALDENS;22/07/22;Loup subadulte;TDR;Lieutenant de louveterie
1;VAUJANY;27/07/22;Loup;TDS;Chasseur
1;VAUJANY;27/07/22;Loup;TDS;Chasseur
1;CHOLONGE;30/07/22;Louve;TDR;Lieutenant de louveterie
1;PRESLES;02/09/22;Loup;TDS;Lieutenant de louveterie
1;CHOLONGE;02/09/22;Loup;TDR;Lieutenant de louveterie
1;CÔTES-DE-CORPS;07/10/22;Loup subadulte;TDS;Lieutenant de louveterie
1;CÔTES-DE-CORPS;07/10/22;Louveteau femelle;TDS;Lieutenant de louveterie
1;HERBEYS;13/10/22;Loup;TDS;Lieutenant de louveterie
1;HERBEYS;08/12/22;Loup subadulte;TDS;Lieutenant de louveterie
