Année;Département;Nb_dosiers;Nb_animaux_tués
2018;Ain;0;0
2018;Allier;3;7
2018;Alpes-de-Haute-Provence;531;1769
2018;Alpes-Maritimes;738;2633
2018;Ardèche;15;47
2018;Ardennes;;
2018;Ariège;;
2018;Aube;;
2018;Aude;;
2018;Aveyron;;
2018;Bas-Rhin;;
2018;Bouches-du-Rhône;0;0
2018;Cantal;136;433
2018;Charente-Maritime;;
2018;Corrèze;;
2018;Côte-d'Or;;
2018;Creuse;;
2018;Doubs;;
2018;Drôme;136;433
2018;Eure;;
2018;Gard;;
2018;Haut-Rhin;;
2018;Haute-Garonne;;
2018;Haute-Loire;0;0
2018;Haute-Marne;;
2018;Haute-Saône;;
2018;Haute-Savoie;57;198
2018;Haute-Vienne;;
2018;Hautes-Alpes;291;1123
2018;Hautes-Pyrénées;;
2018;Hérault;;
2018;Indre;;
2018;Isère;228;651
2018;Jura;;
2018;Loire;2;3
2018;Lot;;
2018;Lozère;;
2018;Marne;;
2018;Meurthe-et-Moselle;;
2018;Meuse;;
2018;Moselle;;
2018;Nièvre;;
2018;Oise;;
2018;Pyrénées-Atlantiques;;
2018;Pyrénées-Orientales;;
2018;Rhône;0;0
2018;Saône-et-Loire;;
2018;Savoie;410;1554
2018;Seine-Maritime;;
2018;Somme;;
2018;Tarn;;
2018;Var;342;1141
2018;Vaucluse;19;26
2018;Vendée;;
2018;Vosges;;
2018;Yonne;;
2019;Ain;12;42
2019;Allier;0;0
2019;Alpes-de-Haute-Provence;649;1942
2019;Alpes-Maritimes;874;2675
2019;Ardèche;1;21
2019;Ardennes;;
2019;Ariège;;
2019;Aube;;
2019;Aude;;
2019;Aveyron;;
2019;Bas-Rhin;;
2019;Bouches-du-Rhône;12;40
2019;Cantal;40;180
2019;Charente-Maritime;;
2019;Corrèze;;
2019;Côte-d'Or;;
2019;Creuse;;
2019;Doubs;;
2019;Drôme;180;477
2019;Eure;;
2019;Gard;;
2019;Haut-Rhin;;
2019;Haute-Garonne;;
2019;Haute-Loire;1;1
2019;Haute-Marne;;
2019;Haute-Saône;;
2019;Haute-Savoie;76;276
2019;Haute-Vienne;;
2019;Hautes-Alpes;353;1513
2019;Hautes-Pyrénées;;
2019;Hérault;;
2019;Indre;;
2019;Isère;282;1077
2019;Jura;;
2019;Loire;0;0
2019;Lot;;
2019;Lozère;;
2019;Marne;;
2019;Meurthe-et-Moselle;;
2019;Meuse;;
2019;Moselle;;
2019;Nièvre;;
2019;Oise;;
2019;Pyrénées-Atlantiques;;
2019;Pyrénées-Orientales;;
2019;Rhône;0;0
2019;Saône-et-Loire;;
2019;Savoie;422;1571
2019;Seine-Maritime;;
